Date,SPY
2000-01-04,-0.039106446799733185
2000-01-05,0.0017891989343687964
2000-01-06,-0.016071729878700425
2000-01-07,0.058075945880754265
2000-01-10,0.003430843572671094
2000-01-11,-0.01196620255657288
2000-01-12,-0.009947773877526433
2000-01-13,0.013542685637134344
2000-01-14,0.013577880711528545
2000-01-18,-0.007867073474157382
2000-01-19,0.008144072058939411
2000-01-20,-0.015306572970986476
2000-01-21,-0.002158792045734881
2000-01-24,-0.028342416180902164
2000-01-25,0.011355654164687756
2000-01-26,-0.007925714206942769
2000-01-27,-0.003994940132241109
2000-01-28,-0.031194172546382237
2000-01-31,0.027138971755207297
2000-02-01,0.009851848698390953
2000-02-02,0.0008872314518597602
2000-02-03,0.01506398244938767
2000-02-04,-0.004146397390245915
2000-02-07,-0.0015339717770611605
2000-02-08,0.013608414394058688
2000-02-09,-0.021004718567491976
2000-02-10,0.001990969407961618
2000-02-11,-0.020309725291214997
2000-02-14,0.005858285745156344
2000-02-15,0.01131333577532101
2000-02-16,-0.014730556017855112
2000-02-17,-0.005170479924221261
2000-02-18,-0.02146953595508605
2000-02-22,-0.002540365958355495
2000-02-23,0.011808860729394688
2000-02-24,-0.020137591968446444
2000-02-25,-0.003619666958186052
2000-02-28,0.020977148726693207
2000-02-29,0.009642080678519793
2000-03-01,0.007275565392153016
2000-03-02,0.0006774618749949557
2000-03-03,0.018723303327934593
2000-03-06,-0.009743026194131255
2000-03-07,-0.019342778860372944
2000-03-08,-0.001254108105058882
2000-03-09,0.0292239573064339
2000-03-10,-0.005323800520972477
2000-03-13,-0.010928088459355889
2000-03-14,-0.01420523411804242
2000-03-15,0.023330538402816847
2000-03-16,0.04671418550951212
2000-03-17,0.006609003515894107
2000-03-20,-0.005104003971697635
2000-03-21,0.02052148653603325
2000-03-22,0.00607493181675145
2000-03-23,0.01707245812618252
2000-03-24,0.005936502737037053
2000-03-27,-0.010581617777204677
2000-03-28,-0.005759218893552576
2000-03-29,0.0010338743527551486
2000-03-30,-0.01673864335774511
2000-03-31,0.011349303605296512
2000-04-03,0.00581898424418803
2000-04-04,-0.007437987007775759
2000-04-05,-0.006245154167334843
2000-04-06,0.0086932196125582
2000-04-07,0.0063334398014016635
2000-04-10,-0.0039200792612759106
2000-04-11,-0.0029010013945666158
2000-04-12,-0.027425594304418932
2000-04-13,-0.013885852868110171
2000-04-14,-0.057192344038935694
2000-04-17,0.034926527850744904
2000-04-18,0.02642071064321172
2000-04-19,-0.009301218336372208
2000-04-20,0.004802943776747615
2000-04-24,-0.010864837741142441
2000-04-25,0.0415206804052215
2000-04-26,-0.011284776816556041
2000-04-27,-0.0033064463192347127
2000-04-28,-0.006206663717128635
2000-05-01,0.013568160797333473
2000-05-02,-0.019974477802404467
2000-05-03,-0.023416839594458838
2000-05-04,0.007548726155631735
2000-05-05,0.012119790129958785
2000-05-08,-0.007510901129047842
2000-05-09,-0.008007404173543953
2000-05-10,-0.02255662525338553
2000-05-11,0.022850922387144035
2000-05-12,0.010837792610166375
2000-05-15,0.01728694261534347
2000-05-16,0.009679731393433366
2000-05-17,-0.010438927560297184
2000-05-18,-0.012271013982321888
2000-05-19,-0.015693712073612143
2000-05-22,-0.007528586891298428
2000-05-23,-0.014725415392521035
2000-05-24,0.01630445749339149
2000-05-25,-0.017156891444591205
2000-05-26,0.0011334510151721489
2000-05-30,0.0326090012209026
2000-05-31,0.002192244959552836
2000-06-01,0.017506012548899053
2000-06-02,0.01741897902180023
2000-06-05,-0.00486134403625893
2000-06-06,-0.004460846627438175
2000-06-07,0.006934285041551025
2000-06-08,-0.003920014659508975
2000-06-09,-0.0021270599564721104
2000-06-12,-0.01172465988298399
2000-06-13,0.018766473049932175
2000-06-14,0.001693527482127699
2000-06-15,0.0021138938170417454
2000-06-16,-0.008216690719298647
2000-06-19,0.012790296971407544
2000-06-20,-0.003578130526356915
2000-06-21,-0.0004222085382749041
2000-06-22,-0.015215963253225162
2000-06-23,-0.00858299258471773
2000-06-26,0.012878304512266459
2000-06-27,-0.007372364613266846
2000-06-28,0.002798614278208378
2000-06-29,-0.009446337360452639
2000-06-30,0.007585711325013289
2000-07-03,0.013766601993604022
2000-07-05,-0.01803505652177939
2000-07-06,0.007778248339327831
2000-07-07,0.01608083467364052
2000-07-10,-0.001688094194004619
2000-07-11,0.002113585464056822
2000-07-12,0.0065390168981029895
2000-07-13,0.004400234573026074
2000-07-14,0.009806226460379985
2000-07-17,-0.0016525534120600538
2000-07-18,-0.008175096901190448
2000-07-19,-0.008033595858783271
2000-07-20,0.013883458004593452
2000-07-21,-0.019501874235883454
2000-07-24,-0.005713359640683424
2000-07-25,0.0031924533720379955
2000-07-26,-0.009758680467407022
2000-07-27,-0.0034278661968346613
2000-07-28,-0.02257051263937926
2000-07-31,0.00637751542513354
2000-08-01,0.006119661931643039
2000-08-02,0.004995010518221932
2000-08-03,0.006915988759362834
2000-08-04,0.005365867381865508
2000-08-07,0.011955820144572193
2000-08-08,0.0037972303366131666
2000-08-09,-0.008406448566326108
2000-08-10,-0.004875445673760637
2000-08-11,0.004686271925150365
2000-08-14,0.012719794354411285
2000-08-15,-0.000837770318912634
2000-08-16,-0.0035617979263121713
2000-08-17,0.010513181617389122
2000-08-18,-0.003328727338267168
2000-08-21,0.005428110295381483
2000-08-22,-0.001661340673524525
2000-08-23,0.003952210624846186
2000-08-24,0.0031074814571931952
2000-08-25,-0.0004134187130461209
2000-08-28,0.0034091910793043745
2000-08-29,0.0002055837581320663
2000-08-30,-0.009572540155872056
